"UTM Source","Визиты","Посетители","Отказы","Время на сайте","Доля новых посетителей","Конверсия (Первично-качественные звонки UIS)","Конверсия (Первичные звонки UIS)"
"Итого и средние","1093399","1003957","0.40943425040000003","00:01:24","0.9814703219360988","0.00164624","0.01445035"
"mts","542246","526966","0.46257971470000003","00:01:17","0.9935346872473746","0.00092209","0.00885207"
"yandex","188977","132819","0.4357091075","00:01:43","0.903997169079725","0.00105833","0.01587495"
"adspector","158314","153856","0.2794572811","00:01:21","0.9907575915141431","0.00189497","0.02084465"
"buzzoola","57487","57231","0.2478647346","00:01:14","0.9929059425835649","0.0","0.00347905"
"qbid","35740","35387","0.28385562400000003","00:01:16","0.9886398960070082","0.0","0.01119194"
"rutube","29418","26656","0.5934121966","00:01:26","0.975577731092437","0.00339928","0.0169964"
"roxot","25446","25043","0.24805470410000002","00:01:42","0.9877410853332268","0.00392989","0.06287825"
"solta","15553","14831","0.2286375619","00:01:43","0.9754568134313263","0.03857777","0.0707259"
"plazkart","12629","5846","0.521577322","00:01:39","0.9495381457406774","0.0","0.00791828"
"streamingads","9499","7232","0.4802610801","00:01:32","0.9303097345132744","0.0","0.05263712"
"adheads","6928","6699","0.3849595843","00:01:58","0.9762651141961487","0.0","0.0"
"astralab","6533","6379","0.2694015001","00:01:47","0.9686471233735695","0.0","0.0"
"vkvideo","4119","3656","0.6635105608","00:01:19","0.962253829321663","0.0","0.04855547"
"Не определено","276","225","0.4855072464","00:01:18","0.9066666666666666","0.0","0.0"
"da","126","60","0.380952381","00:01:37","0.38333333333333336","0.0","0.79365079"
"segmento","81","39","0.5308641975","00:01:16","0.8461538461538461","0.0","0.0"
"adsheads","19","14","0.3157894737","00:05:19","0.5714285714285714","0.0","0.0"
"sberseller","6","5","0.33333333330000003","00:00:38","0.8","0.0","0.0"
"onetarget","1","1","0.0","00:00:47","0.0","0.0","0.0"
"yandexsmartcamera","1","1","1.0","00:00:00","1.0","0.0","0.0"
