"interaction_dt","campaign_nm","placement_nm","impressions","clicks","givt","fraud_impressions"
"2026-07-05","video yandex // Май 2026_","lv_yandex_msk_video_may26_none_bf_int-fin-uslugi_prg",0,1,0,0
"2026-06-10","video yandex // Май 2026_","vr_yandex_msk_video_may26_none_hor_owner-business_prg",0,1,0,0
"2026-07-20","Зонтик регионы // Video yandex // июль 2026","lg_yandex_video_reg_prov_jul26_south_lift_lal-crm-meetings_prg",1,0,0,0
"2026-06-26","promopages // Май 2026_","lm_promopages_msk_article_may26_none_planirovki_lal-sdelki_none_cont",207,0,0,0
"2026-07-20","Нижегородская // MTS // июль 2026","ng_mts_msk_video_jul26_none_lift_real-estate_prg",61406,483,1252,696
"2026-06-23","media yandex // Май 2026_","gvl_yandex_reg_banner_may26_none_basic_int-residential-properties-new_prg",0,1,0,0
"2026-07-04","Селигерская // Ozon // июнь 2026","sel_family_ozon_msk_banner_jun26_none_minus40_family-tours_mrk",2,0,0,0
"2026-06-22","Мичуринский // Media yandex // июнь 2026","lm_yandex_msk_banner_jun26_none_bf_ret-site_prg",5422,25,0,0
"2026-06-11","Южнопортовая регионы // Avito // июнь 2026","sp_avito-ads_reg_banner_jun26_none_minus40_int-ipoteka_mrk",1436,1,33,0
"2026-07-01","Мичуринский регионы // Media yandex // июль 2026","lm_yandex_banner_reg_prov_jul26_pfo_sale_int-residential-properties-new_prg",0,9,0,0
"2026-06-18","Лесной // Video yandex // июнь 2026","gvl_yandex_msk_video_jun26_none_lift-bf_int-premium-real-estate_prg",9351,198,1,0
"2026-07-19","media yandex // Май 2026_","ng_yandex_msk_banner_may26_none_bf_int-premium-real-estate_prg",0,2,0,0
"2026-06-01","promopages // Май 2026_","lg_promopages_msk_article_may26_none_design-interior_lal-sdelki_none_cont",476,0,0,0
"2026-05-28","video yandex // Май 2026_","lm_yandex_msk_video_may26_none_hor_int-mortgage-no-button_prg",0,1,0,0
"2026-06-20","media yandex // Май 2026_","gvl_yandex_reg_banner_may26_none_bf_jt-real-estate_prg",0,1,0,0
"2026-06-25","Мечникова // Media yandex // июнь 2026","lmech-rspb_yandex_spb_banner_jun26_none_basic_rtrg-view-video_prg",2478,13,0,0
"2026-06-19","Свободы // Video yandex // июнь 2026","lwsv_yandex_msk_video_jun26_none_basic_small-mid-business_prg",0,1,0,0
"2026-05-26","mTS // Май 2026_","sp_mts_reg_banner_may26_none_bf_real-estate_prg",3307,42,13,31
"2026-06-09","Войковская // Ozon // июнь 2026","lv_ozon_msk_banner_jun26_none_bf_sales_mrk",7650,11,213,3
"2026-07-25","video yandex // Май 2026_","vr_yandex_msk_video_may26_none_hor_lal-meeting_prg",0,1,0,0
"2026-07-28","Павелецкая Сити // Media yandex // июнь 2026","pc_yandex_msk_banner_jun26_none_bf_int-luxury-item_prg",0,1,0,0
"2026-06-19","Звенигородская // Ozon // июнь 2026","zv_ozon_msk_banner_jun26_none_minus40_looked-travel-pages_mrk",11396,12,263,5
"2026-06-16","Войковская // Video yandex // июнь 2026","lv_yandex_msk_video_jun26_none_lift-bf_int-travel-rest_prg",5135,81,0,0
"2026-07-04","video yandex // Май 2026_","sp_yandex_msk_video_may26_none_hor-bf_int-mortgage_prg",0,1,0,0
"2026-07-31","media yandex // Май 2026_","gvl_yandex_reg_banner_may26_none_basic_jt-real-estate_prg",0,1,0,0
"2026-07-22","video yandex // Май 2026_","lv_yandex_msk_video_may26_none_bf_int-clothes-shoes_prg",0,1,0,0
"2026-07-10","Свободы // Video yandex // июнь 2026","lwsv_yandex_msk_video_jun26_none_basic_int-sale-rent-commercial_prg",0,1,0,0
"2026-06-28","Мичуринский // Ozon // июнь 2026","lm_ozon_msk_banner_jun26_none_minus40_real-estate_mrk",5353,7,189,1
"2026-05-26","video yandex // Май 2026_","vr_yandex_msk_video_may26_none_hor_rent-estate_prg",2270,1,0,0
"2026-06-11","Лесной регионы // Media yandex // июнь 2026","gvl_yandex_reg_banner_jun26_none_bf_keys-buy-flat_prg",57,2,0,0
"2026-07-06","video yandex // Май 2026_","lm_family_yandex_msk_video_may26_none_hor_int-kids-income-no-button_prg",0,1,0,0
"2026-07-28","Остатки // Media yandex // июль 2026","lg_last_yandex_msk_banner_jul26_none_bant-ng_visitors-sites-list_prg",1,1,0,0
"2026-07-25","Лесной регионы // Media yandex // июнь 2026","gvl_yandex_reg_banner_jun26_none_bf_lal-crm-meetings_prg",0,1,0,0
"2026-07-28","Премиум // MTS // июль 2026","lg_mts_video_msk_prem_jul26_basic_real-estate_prg",25863,248,99,164
"2026-07-16","Южнопортовая // Yandex_Go // июнь 2026","sp_yandexgo_msk_banner_jun26_none_bf_real-estate_med",1,0,1,0
